#Instance	Encoding	Solver	Config	RESULT	CPUTime	TIMELIMIT	Models	Calls	Choices	Conflicts	Restarts	Variables	Constraints
hc-power-12_01	tj_jumped_inc_hint1	clingo540	handy	SAT	169.388	na	1+	70	9377158	5617900	4153	90226	3020050
hc-power-12_01	tj_jumped_inc_hint1	clingo540	tweety	SAT	123.814	na	1+	70	3671594	2648896	8298	90226	2425052
hc-power-12_01	tj_jumped_inc_hint2	clingo540	handy	SAT	175.027	na	1+	70	10196760	6156369	4365	90226	3178442
hc-power-12_01	tj_jumped_inc_hint2	clingo540	tweety	SAT	120.739	na	1+	70	3795921	2771515	8953	90226	2523400
hc-power-12_01	tj_sum_inc	clingo540	handy	SAT	130.696	na	1+	70	23383230	18453127	14685	6054	10520
hc-power-12_01	tj_sum_inc	clingo540	tweety	SAT	184.971	na	1+	70	6782862	5532936	16893	6054	9555
hc-square-01_01	tj_jumped_inc	clingo540	handy	SAT	0.074	na	1+	13	2028	1381	0	6335	14791
hc-square-01_01	tj_jumped_inc	clingo540	tweety	SAT	0.058	na	1+	13	1518	1134	9	6335	19235
hc-square-01_01	tj_jumped_inc_hint1_2	clingo540	handy	SAT	0.106	na	1+	13	1255	780	0	2386	24898
hc-square-01_01	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	0.086	na	1+	13	1551	976	9	2386	50739
hc-square-01_01	tj_jumped_inc_hint1	clingo540	handy	SAT	0.082	na	1+	13	1618	1041	0	2386	23573
hc-square-01_01	tj_jumped_inc_hint1	clingo540	tweety	SAT	0.069	na	1+	13	1889	1133	11	2386	23017
hc-square-01_01	tj_jumped_inc_hint2	clingo540	handy	SAT	0.070	na	1+	13	294	223	0	2386	6896
hc-square-01_01	tj_jumped_inc_hint2	clingo540	tweety	SAT	0.061	na	1+	13	840	565	3	2386	9870
hc-square-01_01	tj_sum_inc	clingo540	handy	SAT	0.029	na	1+	13	1305	894	0	490	685
hc-square-01_01	tj_sum_inc	clingo540	tweety	SAT	0.028	na	1+	13	1305	873	7	490	714
hc-square-02_01	tj_jumped_inc	clingo540	handy	SAT	3.254	na	1+	31	216723	144564	76	49504	127243
hc-square-02_01	tj_jumped_inc	clingo540	tweety	SAT	2.641	na	1+	31	112678	82532	458	49504	166381
hc-square-02_01	tj_jumped_inc_hint1_2	clingo540	handy	SAT	2.561	na	1+	31	124932	69531	32	17633	741348
hc-square-02_01	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	2.138	na	1+	31	94769	61369	362	17633	671323
hc-square-02_01	tj_jumped_inc_hint1	clingo540	handy	SAT	2.392	na	1+	31	138201	83868	49	17633	388714
hc-square-02_01	tj_jumped_inc_hint1	clingo540	tweety	SAT	1.880	na	1+	31	101179	66314	382	17633	368878
hc-square-02_01	tj_jumped_inc_hint2	clingo540	handy	SAT	1.744	na	1+	31	99290	54507	24	17633	404674
hc-square-02_01	tj_jumped_inc_hint2	clingo540	tweety	SAT	1.973	na	1+	31	106491	67843	384	17633	368721
hc-square-02_01	tj_sum_inc	clingo540	handy	SAT	1.365	na	1+	31	276228	196732	83	1906	3103
hc-square-02_01	tj_sum_inc	clingo540	tweety	SAT	0.804	na	1+	31	95492	71267	410	1906	2935
hc-toyno-01_01	tj_jumped_inc	clingo540	handy	UNSAT	0.022	na	0	6	36	34	0	230	506
hc-toyno-01_01	tj_jumped_inc	clingo540	tweety	UNSAT	0.021	na	0	6	59	48	0	230	736
hc-toyno-01_01	tj_jumped_inc_hint1_2	clingo540	handy	UNSAT	0.021	na	0	6	18	24	0	140	624
hc-toyno-01_01	tj_jumped_inc_hint1_2	clingo540	tweety	UNSAT	0.020	na	0	6	14	19	0	140	647
hc-toyno-01_01	tj_jumped_inc_hint1	clingo540	handy	UNSAT	0.021	na	0	6	24	30	0	140	500
hc-toyno-01_01	tj_jumped_inc_hint1	clingo540	tweety	UNSAT	0.021	na	0	6	15	19	0	185	511
hc-toyno-01_01	tj_jumped_inc_hint2	clingo540	handy	UNSAT	0.023	na	0	6	34	32	0	230	888
hc-toyno-01_01	tj_jumped_inc_hint2	clingo540	tweety	UNSAT	0.022	na	0	6	40	40	0	230	1191
hc-toyno-01_01	tj_sum_inc	clingo540	handy	UNSAT	0.020	na	0	6	20	23	0	191	246
hc-toyno-01_01	tj_sum_inc	clingo540	tweety	UNSAT	0.020	na	0	6	20	24	0	191	475
hc-toyyes-01_01	tj_jumped_inc	clingo540	handy	SAT	0.020	na	1+	4	16	12	0	158	400
hc-toyyes-01_01	tj_jumped_inc	clingo540	tweety	SAT	0.020	na	1+	4	18	14	0	158	443
hc-toyyes-01_01	tj_jumped_inc_hint1_2	clingo540	handy	SAT	0.022	na	1+	4	12	7	0	158	784
hc-toyyes-01_01	tj_jumped_inc_hint1_2	clingo540	tweety	SAT	0.021	na	1+	4	26	18	0	158	931
hc-toyyes-01_01	tj_jumped_inc_hint1	clingo540	handy	SAT	0.021	na	1+	4	16	13	0	158	706
hc-toyyes-01_01	tj_jumped_inc_hint1	clingo540	tweety	SAT	0.020	na	1+	4	21	18	0	158	706
hc-toyyes-01_01	tj_jumped_inc_hint2	clingo540	handy	SAT	0.021	na	1+	4	12	7	0	158	616
hc-toyyes-01_01	tj_jumped_inc_hint2	clingo540	tweety	SAT	0.021	na	1+	4	22	15	0	158	616
hc-toyyes-01_01	tj_sum_inc	clingo540	handy	SAT	0.019	na	1+	4	8	8	0	99	80
hc-toyyes-01_01	tj_sum_inc	clingo540	tweety	SAT	0.019	na	1+	4	7	6	0	99	147
